"subject" "activity" "data.tBodyAcc.mean...X" "data.tBodyAcc.mean...Y" "data.tBodyAcc.mean...Z" "data.tBodyAcc.std...X" "data.tBodyAcc.std...Y" "data.tBodyAcc.std...Z" "data.tGravityAcc.mean...X" "data.tGravityAcc.mean...Y" "data.tGravityAcc.mean...Z" "data.tGravityAcc.std...X" "data.tGravityAcc.std...Y" "data.tGravityAcc.std...Z" "data.tBodyAccJerk.mean...X" "data.tBodyAccJerk.mean...Y" "data.tBodyAccJerk.mean...Z" "data.tBodyAccJerk.std...X" "data.tBodyAccJerk.std...Y" "data.tBodyAccJerk.std...Z" "data.tBodyGyro.mean...X" "data.tBodyGyro.mean...Y" "data.tBodyGyro.mean...Z" "data.tBodyGyro.std...X" "data.tBodyGyro.std...Y" "data.tBodyGyro.std...Z" "data.tBodyGyroJerk.mean...X" "data.tBodyGyroJerk.mean...Y" "data.tBodyGyroJerk.mean...Z" "data.tBodyGyroJerk.std...X" "data.tBodyGyroJerk.std...Y" "data.tBodyGyroJerk.std...Z" "data.tBodyAccMag.mean.." "data.tBodyAccMag.std.." "data.tGravityAccMag.mean.." "data.tGravityAccMag.std.." "data.tBodyAccJerkMag.mean.." "data.tBodyAccJerkMag.std.." "data.tBodyGyroMag.mean.." "data.tBodyGyroMag.std.." "data.tBodyGyroJerkMag.mean.." "data.tBodyGyroJerkMag.std.." "data.fBodyAcc.mean...X" "data.fBodyAcc.mean...Y" "data.fBodyAcc.mean...Z" "data.fBodyAcc.std...X" "data.fBodyAcc.std...Y" "data.fBodyAcc.std...Z" "data.fBodyAccJerk.mean...X" "data.fBodyAccJerk.mean...Y" "data.fBodyAccJerk.mean...Z" "data.fBodyAccJerk.std...X" "data.fBodyAccJerk.std...Y" "data.fBodyAccJerk.std...Z" "data.fBodyGyro.mean...X" "data.fBodyGyro.mean...Y" "data.fBodyGyro.mean...Z" "data.fBodyGyro.std...X" "data.fBodyGyro.std...Y" "data.fBodyGyro.std...Z" "data.fBodyAccMag.mean.." "data.fBodyAccMag.std.." "data.fBodyBodyAccJerkMag.mean.." "data.fBodyBodyAccJerkMag.std.." "data.fBodyBodyGyroMag.mean.." "data.fBodyBodyGyroMag.std.." "data.fBodyBodyGyroJerkMag.mean.." "data.fBodyBodyGyroJerkMag.std.."
1 "WALKING" 0.274418697402229 -0.0180007952179432 -0.108590509708308 -0.356764643213394 -0.0907199536279737 -0.314795865927219 0.901559415114488 -0.172533934626849 -0.0309600597646738 -0.974539665911854 -0.963922834710233 -0.949869592072442 0.0769133735590983 0.0115931285926857 -0.00342366623896505 -0.31993679951502 -0.175890265108279 -0.519881302839402 -0.0319508908268338 -0.0726935356724179 0.0864135710727581 -0.507822854791895 -0.380153802783034 -0.383705339639463 -0.0950019910752634 -0.0442959863261955 -0.0531783535612158 -0.430328866149392 -0.544056431207548 -0.487679262862614 -0.219649115637296 -0.37144599458888 -0.219649115637296 -0.37144599458888 -0.299700789782568 -0.274273265439671 -0.315598626325106 -0.412648713229889 -0.499765213500405 -0.534123606143232 -0.343601999216895 -0.112697038710253 -0.387085159789124 -0.363484032625279 -0.138629937688835 -0.332464508595127 -0.359417200111332 -0.236130756790188 -0.493088173221317 -0.340339450006702 -0.16636656511527 -0.545663115638597 -0.397018110541388 -0.422669960989301 -0.35576481567772 -0.544906562296738 -0.363527879563875 -0.451490287962513 -0.318294555990334 -0.503232156761702 -0.272232567033354 -0.283589985181327 -0.441394599549032 -0.497490367871783 -0.547891340783936 -0.550926764392199
1 "WALKING_UPSTAIRS" 0.263134004730359 -0.0245405371172104 -0.1188117708963 -0.292735378387763 -0.082823042823346 -0.24171926656519 0.84990565621654 -0.241512121898803 -0.102442990903006 -0.950158426980414 -0.929595394057671 -0.906117992247552 0.0760873808135473 0.00992816873628401 -0.0054538837795136 -0.38931932580049 -0.362867394081659 -0.641810471969532 0.000333945412633297 -0.0861985052493787 0.0649165666379706 -0.506714954373286 -0.374429531276572 -0.297383230784222 -0.108992872392573 -0.0391022264627476 -0.051895926518531 -0.567341837005713 -0.663026988399891 -0.579241110913352 -0.166071618298156 -0.294383152721119 -0.166071618298156 -0.294383152721119 -0.417926726348857 -0.407343078892187 -0.235862114348939 -0.373294317138749 -0.61436809238852 -0.664572482896083 -0.335233183849516 -0.184589188686338 -0.409340371263493 -0.27855897532876 -0.0926073997362296 -0.219759083091175 -0.417027908243857 -0.390196557631497 -0.608530635967356 -0.416150562218014 -0.377443081890316 -0.674131785527748 -0.434639727178346 -0.471979094375598 -0.340795568897933 -0.533431580541186 -0.331802974891132 -0.351646651086344 -0.300280772228368 -0.403218173182046 -0.378800899862873 -0.451673357195996 -0.469440946069097 -0.422086669135909 -0.656985206083351 -0.700086596348749
1 "WALKING_DOWNSTAIRS" 0.283537292237676 -0.0169002502229838 -0.106134137961372 -0.0288645834855804 -0.0248282293010094 -0.253167802273462 0.889322920549296 -0.148183256499906 -0.0230641273890217 -0.951784425328638 -0.937625269869718 -0.915655632993545 0.0877643229452083 0.00314206575961854 -0.00874126956060211 -0.1344575114924 -0.153662471368657 -0.456827644624032 -0.0725808977797212 -0.0590452617537553 0.0930968567253052 -0.402076705693369 -0.368439319066403 -0.343187484515998 -0.0777614481121714 -0.0495289026379343 -0.0539524076080282 -0.43164230170446 -0.506793691285505 -0.396972552339771 -0.0096160679434331 -0.00568272952394953 -0.0096160679434331 -0.00568272952394953 -0.200748358864842 -0.11357843316037 -0.201721096680757 -0.302753129803533 -0.465718510471538 -0.487787110415704 -0.0803202798184331 -0.03604063054777 -0.291317386457042 -0.0127109380340317 -0.0829951260686854 -0.295837534535434 -0.170319133441273 -0.195642405356949 -0.408220661254988 -0.176109613037659 -0.166506135420391 -0.504689904561937 -0.296588372899243 -0.363349936135211 -0.248463578046538 -0.439507585156614 -0.380884108160376 -0.439488235067136 0.0176596323774531 -0.176958480175381 -0.0984553869368486 -0.142222809806978 -0.342499405990745 -0.401979877091989 -0.484843816271103 -0.529760128257529
1 "SITTING" 0.272097063403707 -0.0138841346716129 -0.105928073204141 -0.910469500544501 -0.840403087058368 -0.866070191204766 0.858290975323062 0.0745929681234678 0.136135019869721 -0.976624488122292 -0.957084461098219 -0.94372072631247 0.076045413972104 0.00710374163203187 -0.00357286586395128 -0.908067566195522 -0.889599902690612 -0.937900760194511 -0.0353418923483418 -0.074337661345272 0.0795309964493837 -0.931912554528166 -0.880551787863914 -0.898152846830958 -0.0959406509342947 -0.0409491254958902 -0.050243101167558 -0.927447101339432 -0.927621172647569 -0.93038171973611 -0.871079273441396 -0.865719233765768 -0.871079273441396 -0.865719233765768 -0.90932230528026 -0.901439205980568 -0.868340061879345 -0.876168509040828 -0.929587168043813 -0.928964305833414 -0.907789555881849 -0.857540372087549 -0.896734296824747 -0.911959339577371 -0.842264064983115 -0.861533248971979 -0.912007919434381 -0.895855086097998 -0.931924893533943 -0.912277069940477 -0.890476864726567 -0.942498410182956 -0.918142220005826 -0.894335629664083 -0.893168408696533 -0.936645226879634 -0.874822897828166 -0.909533855652383 -0.873331316583967 -0.883450559628599 -0.898408327824535 -0.905179656105344 -0.892707598953876 -0.887749709030332 -0.928537675719162 -0.93453361351661
1 "STANDING" 0.277036707619091 -0.0164907587304855 -0.106688737050974 -0.914976484291331 -0.842445483484045 -0.869984132947409 0.910433054820909 -0.166069424504495 -0.00108913822688914 -0.983435778527273 -0.96619489344 -0.948222192220909 0.0753452436276818 0.0100532418384782 -0.00531746520938091 -0.907811151649136 -0.885923184953818 -0.937828046529091 -0.0258356606960364 -0.0711235643568682 0.0812365156881136 -0.903677599920455 -0.880165935487886 -0.899772753167227 -0.0993193598000136 -0.0421803194428182 -0.0513895943906409 -0.914416704946364 -0.925364276195 -0.927418905900864 -0.874504691758082 -0.874793075440591 -0.874504691758082 -0.874793075440591 -0.908661923285045 -0.899081939873473 -0.867706363087909 -0.860572818672636 -0.924807257885 -0.92231192288 -0.910359767193909 -0.857663025509018 -0.899755192087727 -0.917350584355546 -0.844813762448877 -0.865511605805273 -0.911414183684186 -0.891931104952519 -0.931508113795455 -0.912446624302895 -0.887390206107764 -0.942818264554545 -0.892083442282773 -0.892178748237409 -0.8939888174285 -0.908344476217727 -0.875289630508682 -0.911238448422727 -0.879855611929045 -0.892048860847273 -0.8961240396598 -0.902743193186727 -0.881897648398727 -0.872062254312727 -0.922526945313045 -0.927579875892727
1 "LAYING" 0.269241357346229 -0.0178194696819813 -0.107370441714235 -0.897385431460031 -0.85673098000888 -0.881821384749799 -0.204430339683177 0.511275803339134 0.483231458562338 -0.946918016283356 -0.962564901391388 -0.950054970858099 0.081128196032307 0.0121749994377479 -0.00586766460029116 -0.910315322341856 -0.894661540409817 -0.939433545869701 -0.0173719410789988 -0.0932294482134047 0.119241369305243 -0.926434863634538 -0.88415066150975 -0.908067320668407 -0.101007818539906 -0.0386688230863405 -0.0610347678797724 -0.925023299585899 -0.927178557893351 -0.935805952272155 -0.867841718027568 -0.867851087991656 -0.867841718027568 -0.867851087991656 -0.912595616165596 -0.904300038251513 -0.868160202094333 -0.875061431316287 -0.930013413082106 -0.927390103692994 -0.900087164228737 -0.870007444432771 -0.90544237455734 -0.896942129767291 -0.859368686310366 -0.87938196437104 -0.913690590430705 -0.900622436196136 -0.933693206586345 -0.914972961988563 -0.895488645438233 -0.943783197447568 -0.91282973096033 -0.896346417087149 -0.901822386569701 -0.931209880552878 -0.879287037157117 -0.918875494573851 -0.876933961084739 -0.884512456631013 -0.90163038683693 -0.907537232802677 -0.891911431498081 -0.886594860092816 -0.927355524095805 -0.932595987596609
2 "WALKING" 0.275838723500254 -0.0180745173097353 -0.110023426138779 -0.356086486002244 -0.0842489932571603 -0.317856570387089 0.893508346478372 -0.184606223913152 -0.0289854615893466 -0.975516425898219 -0.965691457302799 -0.952653972076336 0.0774456262674199 0.0106246543475377 -0.00215346976590382 -0.311630748144911 -0.165483983980022 -0.516316231491593 -0.0367871194570382 -0.0681229257349379 0.0866065127367809 -0.504161763081221 -0.399837951004076 -0.37972565924631 -0.0936373796839898 -0.0441120440616845 -0.0543505135483308 -0.421229976925649 -0.550616580191705 -0.482701502541171 -0.220717577754067 -0.368260379613511 -0.220717577754067 -0.368260379613511 -0.293478417274396 -0.261801097227028 -0.321951016428036 -0.423305662389822 -0.501849876618728 -0.53414806674287 -0.338844864300382 -0.102926650574916 -0.382778420118285 -0.364426371596285 -0.134001000205425 -0.338113833886707 -0.349830597411028 -0.225171587595639 -0.488576462947013 -0.334319208117639 -0.157422847518342 -0.543114993399791 -0.390434808045649 -0.434672799419786 -0.352569095119959 -0.542071497261964 -0.386662917608087 -0.44797407006056 -0.310828532112224 -0.502700627292163 -0.261375453229893 -0.269018938999003 -0.450181556052565 -0.507139201838626 -0.549768982739333 -0.548409069751247
2 "WALKING_UPSTAIRS" 0.264515678437931 -0.0249030795144008 -0.118863287721301 -0.29796063707891 -0.0887020747580701 -0.246662551344505 0.841272081273637 -0.25524386982533 -0.0930236604268771 -0.951049237474972 -0.931388972914349 -0.909843395817575 0.0770934928498999 0.00897123906330367 -0.00555372069606785 -0.396205666988654 -0.368966117803276 -0.647772990870968 -0.00128371712617909 -0.0847079174150489 0.0642515833470189 -0.509186457660456 -0.404583191875245 -0.305897562119855 -0.108772852702458 -0.0393209639648109 -0.0533293182653281 -0.575401033745551 -0.687449335562848 -0.582567040829444 -0.1730916476751 -0.301929773667584 -0.1730916476751 -0.301929773667584 -0.425860465563737 -0.411169224679477 -0.250489824051212 -0.393750017699121 -0.632252829962792 -0.680997059205228 -0.3412103648351 -0.188807049952864 -0.41444766184277 -0.283510071094917 -0.0990528924304004 -0.224260259921624 -0.42225467384644 -0.393614085434566 -0.614350788604004 -0.424241811632169 -0.386127472951513 -0.680284857269188 -0.436981664483204 -0.502627393614043 -0.349330992792714 -0.535958094855784 -0.361629027945384 -0.359702408607731 -0.307561854872102 -0.409475194054561 -0.384518473900056 -0.453054889212147 -0.491743848385317 -0.437642585319132 -0.675847423018632 -0.712158224833148
2 "WALKING_DOWNSTAIRS" 0.285703300325105 -0.0166450576940605 -0.107246793275243 -0.0261221522452914 -0.0350252271304756 -0.265758274877953 0.879981615791692 -0.160186571512212 -0.0148434503942161 -0.952426579199278 -0.93878688795304 -0.91790625217941 0.0866938501070048 0.00201358168184226 -0.00665877458407586 -0.134267436127182 -0.155384497741476 -0.45426137617059 -0.0772530815114901 -0.0550557263956045 0.0932588062971222 -0.402700934569837 -0.407170960769296 -0.338455464404491 -0.0759443100669115 -0.0500919007260927 -0.0544265343402228 -0.439159362289223 -0.523600953425948 -0.39281843004634 -0.0141635932785731 -0.00800634132751957 -0.0141635932785731 -0.00800634132751957 -0.201666430991385 -0.109107211325545 -0.217047925663221 -0.328793769497544 -0.477001496851595 -0.498087662669091 -0.077668426048531 -0.0385439570836303 -0.29176229024112 -0.0099266210054124 -0.096331080885015 -0.312755381412089 -0.16722993270242 -0.193763932495906 -0.404491381227273 -0.179187138029001 -0.172241582801184 -0.50337835537239 -0.296472508279958 -0.389879716883263 -0.247103172569115 -0.440362092309976 -0.425533110620337 -0.434242393790126 0.0190579340087176 -0.180812943316586 -0.0949386113331909 -0.136546089953997 -0.363224731133371 -0.427106194781908 -0.496663313905455 -0.537346090578465
2 "SITTING" 0.272976427747418 -0.0135787918294835 -0.106938495602312 -0.927239170355189 -0.859368999141825 -0.886573985067683 0.845832170181997 0.0755447793651956 0.149948084165671 -0.977199470683719 -0.958044309991638 -0.946901812179046 0.0763554275602213 0.00519963066138229 -0.00223335351112189 -0.921469750149238 -0.902188702911559 -0.946465522321692 -0.0402435442419557 -0.0701270288054255 0.0800127963293753 -0.940751753964781 -0.930220872424988 -0.909967932753861 -0.0944955354593212 -0.0411511574460718 -0.0516603158206335 -0.938966299060502 -0.956261468087555 -0.937835836386867 -0.892048325363305 -0.881597011834038 -0.892048325363305 -0.881597011834038 -0.923719098667732 -0.90943964779213 -0.897428450294014 -0.910770713319233 -0.951959724058042 -0.948171759574029 -0.922226396169061 -0.87114979466272 -0.908165872648155 -0.929599726486276 -0.862643987271126 -0.884262441939695 -0.922217106505608 -0.904829087217118 -0.940246324732907 -0.928016448029661 -0.906323085936793 -0.951386655528775 -0.926854935242056 -0.93504443273881 -0.907662668271323 -0.945429796323168 -0.928546032941466 -0.919689750841613 -0.887169114608313 -0.89782085944422 -0.908906695911067 -0.909783155837777 -0.924826314046729 -0.917799971642892 -0.950514276303492 -0.94867924728726
